Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
55-64,Business or Consulting,Proposal Manager,125000,0,125000,0,USD,USA,Virginia,Arlington,31 - 40 years,21 - 30 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Senior Administrative Assistant,73000,2000,73000,2000,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Health care,Nurse Practitioner ,94000,0,94000,0,USD,USA,Tennessee,Knoxville ,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineer,94000,0,94000,0,USD,USA,Virginia,Northern VA,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Art & Design,Graphic Designer,73000,3000,73000,3000,USD,USA,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman
25-34,"Leisure, Sport & Tourism",Graphics Coordinator,56800,4500,56800,4500,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Systems Engineer,94000,5000,94000,5000,USD,USA,Utah,Clearfield,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Energy Supplier,Lead Analyst,73000,4000,73000,4000,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Food & Beverage,Sales Analyst ,55000,5500,55000,5500,USD,USA,Ohio,Cleveland ,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Business or Consulting,Data analyst,60000,0,60000,0,USD,USA,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),PhD student/research assistant,22000,0,22000,0,USD,USA,Colorado,Boulder,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Sales,Sales Director,118000,20000,118000,20000,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree,Man
35-44,Life Sciences,IT Project Manager,176800,0,176800,0,USD,USA,New Jersey,Trenton,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Elementary Teacher,62140,750,62140,750,USD,USA,Texas,Houston,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Utilities & Telecommunications,Environmental Regulatory Specialist,97000,22000,97000,22000,USD,USA,Georgia,Tucker,8 - 10 years,8 - 10 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Cash App Officer,38000,0,38000,0,USD,USA,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Transport or Logistics,Sales Assistant ,55000,0,55000,0,USD,USA,Illinois,Chicago ,11 - 20 years,11 - 20 years,High School,Woman
25-34,Business or Consulting,Manager,160000,15000,160000,15000,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant Program Director,74000,0,74000,0,USD,USA,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Technical editor ,75000,0,75000,0,USD,USA,Colorado,Golden,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Vice President of Advancement ,200000,0,200000,0,USD,USA,Pennsylvania,Pittsburgh ,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Education (Primary/Secondary),Teacher,96000,0,96000,0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Loan Operations Specialist ,36075,1200,36075,1200,USD,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,High School,Woman
35-44,Engineering or Manufacturing,Sr. Principal Engineer,165000,10000,165000,10000,USD,USA,Arizona,Tucson ,11 - 20 years,5-7 years,PhD,Man
55-64,"Manufacturing, Chemical",Material Handling Specialist Level 5,67000,31000,67000,31000,USD,USA,Wisconsin,Sturtevant,41 years or more,21 - 30 years,Some college,Woman
25-34,digital marketing within a book publishing company (please reclassify as you see fit),digital marketing associate,50000,0,50000,0,USD,USA,New York,New York City,11 - 20 years,5-7 years,College degree,Woman
35-44,Business or Consulting,Executive Assistant ,75000,5000,75000,5000,USD,USA,Oklahoma,Tulsa,21 - 30 years,11 - 20 years,Some college,Woman
25-34,Education (Primary/Secondary),Physics teacher,55000,0,55000,0,USD,USA,California,Santa Cruz,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Law,Partner,94000,60000,94000,60000,USD,USA,New York,NYC,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
65 or over,Health care,"VP, Nursing Informatics",240000,25000,240000,25000,USD,USA,Massachusetts,Boston,31 - 40 years,31 - 40 years,PhD,Man
25-34,Computing or Tech,Technical Program Manager II,130000,13000,130000,13000,USD,USA,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman
35-44,Pharmaceutical/Contract Research Organization,Principal Project Data Manager,124000,3000,124000,3000,USD,USA,North Carolina,Triangle,21 - 30 years,11 - 20 years,College degree,Woman
65 or over,Computing or Tech,Technical writer,129000,21675,129000,21675,USD,USA,California,Sunnyvale,41 years or more,21 - 30 years,College degree,Woman
18-24,Computing or Tech,Software Engineer,105000,5000,105000,5000,USD,USA,California,San Jose,2 - 4 years,1 year or less,College degree,Non-binary
25-34,Engineering or Manufacturing,Senior Software Engineer,101500,0,101500,0,USD,USA,Arizona,Scottsdale,5-7 years,5-7 years,College degree,Woman
35-44,Engineering or Manufacturing,Structural engineer ,110000,4000,110000,4000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Law,Paralegal / Legal Secretary,39520,0,39520,0,USD,USA,Oregon,Portland,5-7 years,5-7 years,College degree,Woman
45-54,Law,Paralegal,90000,13000,90000,13000,USD,USA,North Carolina,Charlotte,31 - 40 years,11 - 20 years,College degree,Woman
45-54,Health care,Corporate Manager,130000,13000,130000,13000,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Computing or Tech,Desktop Support,50000,0,50000,0,USD,USA,Texas,Galveston,8 - 10 years,5-7 years,College degree,Man
45-54,Government and Public Administration,Analyst,84300,5000,84300,5000,USD,USA,Georgia,Atlanta,2 - 4 years,1 year or less,PhD,Woman
35-44,Engineering or Manufacturing,Marketing director,175000,30000,175000,30000,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Business or Consulting,consultant / project manager,103000,5000,103000,5000,USD,USA,California,San Francisco,8 - 10 years,5-7 years,College degree,Woman
35-44,Agriculture or Forestry,Customer Service,29000,1000,29000,1000,USD,USA,Louisiana,Metairie,21 - 30 years,1 year or less,Some college,Woman
25-34,Law,Paralegal,53000,3000,53000,3000,USD,USA,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman
35-44,Law,freelance / contract attorney,80000,0,80000,0,USD,USA,New York,NYC,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Property or Construction,Project Coordinator,69000,3000,69000,3000,USD,USA,Massachusetts,Marlborough,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Social Work,Clinician ,56000,0,56000,0,USD,USA,Massachusetts,Milford ,21 - 30 years,2 - 4 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Executive Vice President ,225000,10000,225000,10000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Transport or Logistics,Chassis Maintainer,66850,0,66850,0,USD,USA,New York,New York ,11 - 20 years,2 - 4 years,College degree,Woman
18-24,Engineering or Manufacturing,Aerospace Engineer,75000,1000,75000,1000,USD,USA,Maryland,Columbia,2 - 4 years,2 - 4 years,College degree,Man
35-44,"Accounting, Banking & Finance",Project Accountant,82000,500,82000,500,USD,USA,California,San Francisco,8 - 10 years,5-7 years,College degree,Woman
25-34,Government and Public Administration,Policy Analyst,90848,0,90848,0,USD,USA,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman
25-34,Health care,Nurse practitioner,92600,0,92600,0,USD,USA,New York,Rochester,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Computing or Tech,Senior Product Marketing Manager,140000,20000,140000,20000,USD,USA,California,San Jose,5-7 years,2 - 4 years,College degree,Woman
35-44,Insurance,Claims Manager (Auto Insurance),95000,7000,95000,7000,USD,USA,Oklahoma,Oklahoma City,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Computing or Tech,"Director, SW Engineering",165000,25000,165000,25000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Education (Higher Education),Library manager,55000,0,55000,0,USD,USA,Oregon,Eugene,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Insurance,VP ,435000,90000,435000,90000,USD,USA,New York,New York ,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Agriculture or Forestry,Agriculturist,120000,0,120000,0,USD,USA,Maryland,Riverdale,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Entertainment,Musician,42000,0,42000,0,USD,USA,Ohio,Cleveland,21 - 30 years,21 - 30 years,Some college,Man
45-54,Business or Consulting,Director,175000,5000,175000,5000,USD,USA,Florida,Miami ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Other or prefer not to answer
45-54,Education (Primary/Secondary),teacher (high school),75000,6000,75000,6000,USD,USA,Georgia,Decatur,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Law,Public Defender ,60000,0,60000,0,USD,USA,Ohio,Cincinnati,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Entertainment,Director of Ticketing and Box Office,96000,0,96000,0,USD,USA,Nevada,Las Vegas,31 - 40 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,STEM Education Manager,44000,0,44000,0,USD,USA,Texas,San Antonio ,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Client Service Associate,53045,3500,53045,3500,USD,USA,Illinois,Downers Grove,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Product Manager,80000,2000,80000,2000,USD,USA,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Beverage,Associate Production Planning Manager,67000,3500,67000,3500,USD,USA,New York,Queens,5-7 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Prospect Research Associate,62593,0,62593,0,USD,USA,District of Columbia,Washington DC,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,senior software engineer,180000,170000,180000,170000,USD,USA,California,Sunnyvale,11 - 20 years,8 - 10 years,PhD,Man
55-64,Education (Higher Education),Marketing Specialist,51490,0,51490,0,USD,USA,Arizona,Tucson,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,Sales,Customer Service Supervisor,55000,15000,55000,15000,USD,USA,New Hampshire,Nashua,11 - 20 years,8 - 10 years,College degree,Woman
45-54,trade association,"Senior Vice President, Diversity Equity & Inclusion",195000,25000,195000,25000,USD,USA,Virginia,Washington DC,21 - 30 years,5-7 years,PhD,Woman
25-34,Computing or Tech,"Environmental Health and Safety, and Emergency Management Lead",134000,13400,134000,13400,USD,USA,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman
45-54,"Science Research, government",Senior scientist,131000,0,131000,0,USD,USA,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,PhD,Woman
25-34,Nonprofits,"Manager, Investment Analytics",80000,0,80000,0,USD,USA,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman
45-54,Utilities & Telecommunications,Sr. EA,140000,25000,140000,25000,USD,USA,New Jersey,"Holmdel, NJ",21 - 30 years,21 - 30 years,High School,Woman
25-34,Computing or Tech,Content Developer,86000,32000,86000,32000,USD,USA,Washington,Seattle,5-7 years,2 - 4 years,College degree,Woman
35-44,Nonprofits,Donor relations & Program coordination,30000,0,30000,0,USD,USA,Arizona,Tucson,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Insurance,Claims Representative,55300,0,55300,0,USD,USA,New York,Long Island,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Education (Primary/Secondary),Elementary Special Education Teacher,38600,0,38600,0,USD,USA,Mississippi,Ethel,8 - 10 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Technical editor,125000,15000,125000,15000,USD,USA,California,Santa Clara,11 - 20 years,5-7 years,PhD,Woman
35-44,Health and fitness,client care representative ,43680,0,43680,0,USD,Usa,Kentucky,Lexington,11 - 20 years,5-7 years,College degree,Woman
65 or over,Health care,Nurse practitioner ,208000,0,208000,0,USD,USA,Kentucky,Many,31 - 40 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),Instructor,84000,0,84000,0,USD,USA,Nebraska,Omaha,11 - 20 years,8 - 10 years,PhD,Woman
25-34,"Marketing, Advertising & PR",Graphic Design Supervisor,83000,4000,83000,4000,USD,USA,Arizona,Gilbert,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Health care,Managed Care Analyst,52000,3000,52000,3000,USD,USA,Ohio,Cincinnati,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Sales,Director of Sales & Education,75000,45000,75000,45000,USD,USA,California,"Concord, CA",21 - 30 years,11 - 20 years,High School,Woman
35-44,"Marketing, Advertising & PR",Senior editor,96285,7000,96285,7000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,Contractor - Government Services,78624,4500,78624,4500,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Man
35-44,Computing or Tech,"Manager, Sales Engineering",160000,65000,160000,65000,USD,USA,Michigan,Remote,21 - 30 years,11 - 20 years,College degree,Other or prefer not to answer
35-44,Computing or Tech,Lead Engineer,200000,0,200000,0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,PhD,Man
35-44,Engineering or Manufacturing,Office Administrator,38500,0,38500,0,USD,USA,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Leisure, Sport & Tourism",Facilities Project Coordinator ,74000,10000,74000,10000,USD,USA,New York,New York ,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Software Engineer,148000,140000,148000,140000,USD,USA,New York,New York,11 - 20 years,5-7 years,College degree,Man
25-34,"Accounting, Banking & Finance",Senior Support Representative,39000,2000,39000,2000,USD,usa,Florida,St. Petersburg,11 - 20 years,5-7 years,High School,Woman
25-34,Computing or Tech,Software Engineer,185000,128000,185000,128000,USD,USA,California,Mountain View,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Electronic Resources Librarian,56000,0,56000,0,USD,USA,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineer II,140000,60000,140000,60000,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Man
55-64,Health care,certified prosthetic and orthotic assistant.,57000,0,57000,0,USD,usa,Virginia,charlottesville,31 - 40 years,31 - 40 years,High School,Man
55-64,Law,Legal assistant,65000,3000,65000,3000,USD,USA,Virginia,Richmond ,31 - 40 years,31 - 40 years,Some college,Woman
25-34,Law,Contract Law Clerk ,72000,0,72000,0,USD,USA,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofits,Asst vp planning,87000,0,87000,0,USD,Usa,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Commercial Real Estate ,Brokerage Services Associate,49330,1880,49330,1880,USD,USA,North Carolina,Raleigh,21 - 30 years,2 - 4 years,College degree,Woman
25-34,Engineering or Manufacturing,Executive assistant ,83250,10000,83250,10000,USD,USA,Texas,Austin,8 - 10 years,1 year or less,Some college,Woman
35-44,Nonprofits,Program Manager,54000,0,54000,0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman
55-64,Education (Higher Education),Associate Professor,84279,5000,84279,5000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,PhD,Woman
35-44,Oil and Gas,Supply planner ,67000,0,67000,0,USD,Usa,Colorado,Denver,21 - 30 years,2 - 4 years,College degree,Woman
45-54,"Accounting, Banking & Finance","Senior Analyst, Information Technology",105600,10560,105600,10560,USD,USA,Minnesota,Minneapolis-St. Paul,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Computing or Tech,Sr. Atlassian Engineer,118500,6000,118500,6000,USD,USA,Georgia,Atlanta,11 - 20 years,5-7 years,College degree,Man
25-34,Business or Consulting,Principal ,84000,12000,84000,12000,USD,USA,Virginia,Arlington,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Health care,Senior Learning Solutions Specialist,85000,8500,85000,8500,USD,USA,Illinois,Oak Brook,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Education (Primary/Secondary),Head of School (Principal),117000,0,117000,0,USD,USA,Rhode Island,Providence,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,Marketing Manager,70000,0,70000,0,USD,USA,California,Oakland,5-7 years,5-7 years,College degree,Woman
35-44,Nonprofits,Bookkeeper ,60570,0,60570,0,USD,USA,California,San Ramon,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Real Estate/Development,Asset Manager,65000,10000,65000,10000,USD,USA,Oregon,Portland,8 - 10 years,5-7 years,College degree,Woman
